,,,,,,lat,long,http://www.latlong.net/convert-address-to-lat-long.html
,,http://www.dfa.unipd.it/index.php?id=79&L=2,,"via Marzolo, 8
I-35131 Padova","via Marzolo, 8
I-35131 Padova",45.409254,11.886054,
,Chalmers U,http://www.chalmers.se/sv/centrum/oso/Sidor/default.aspx,,Chalmers University of Technology 412 96 Gothenburg,412 96 Gothenburg,57.70887,11.97456,
,,http://www.inaf.it/en?set_language=en,,"Viale del Parco Mellini n°84
00136 ROMA","Viale del Parco Mellini n°84
00136 ROMA",41.922852,12.450339,
,,http://www.space.dtu.dk/english/Research/Research_divisions/Astrophysics,,"National Space Institute
Elektrovej, building 327+328 + 371  and
Ørsteds Plads, building 348 
DK-2800 Kgs. Lyngby",DK-2800 Kgs. Lyngby,55.763516,12.494943,
,Niels Bohr Institute,http://dark.nbi.ku.dk/,,"Niels Bohr Institute, University of Copenhagen
Juliane Maries Vej 30
2100 Copenhagen Ø
Denmark","2100 Copenhagen Ø
Denmark",55.6852,12.572771,
,,http://www.oa-roma.inaf.it/index.php?lang=en,,"Via Frascati 33, 00078, Monte Porzio Catone (RM), Italy","Via Frascati 33, 00078, Monte Porzio Catone (RM), Italy",41.813263,12.706725,
,Albert Einstein Institute - Max Planck Institute for Gravitational Physics,http://www.aei.mpg.de/,,"Max Planck Institute for Gravitational Physics (Albert Einstein Institute)
Science Park Potsdam-Golm
Am Mühlenberg 1
D-14476 Potsdam-Golm
Germany","D-14476 Potsdam-Golm
Germany",52.41556,12.96901,
,Leibniz,http://www.aip.de/en,,"An der Sternwarte 16, 14482 Potsdam, Germany","14482 Potsdam, Germany",52.4045,13.10477,
,Lund Uni,http://www.astro.lu.se/,,"Lund Observatory, Box 43, SE-221 00 Lund, Sweden","SE-221 00 Lund, Sweden",55.70466,13.191007,
,"sissa, trieste",http://www.sissa.it/ap/,,"Via Bonomea 265, 34136, Trieste, Italy","Trieste, Italy",45.67403,13.762504,
,U Vienna,http://astro.univie.ac.at/,,1010 Wien ,1010 Wien ,48.208265,16.373921,
,,http://astro.physics.muni.cz/en/,,"Faculty of Science, MU
Dept. of Theor. Phys. & Astrophysics 
Kotlářská 2 (Building No. 6)
CZ-611 37 Brno
Czech Republic","CZ-611 37 Brno
Czech Republic",49.19506,16.606837,
,Uppsala U,http://www.physics.uu.se/,,"Lägerhyddsvägen 1 
Uppsala","Lägerhyddsvägen 1 
Uppsala",59.839256,17.647075,
,South African Astronomical Obs,http://www.saao.ac.za/,,"South African Astronomical Observatory
P.O. Box 9
Observatory
7935
South Africa","South African Astronomical Observatory
7935
South Africa",-33.934539,18.477115,
,U Cape Town,"http://www.ast.uct.ac.za/, http://www.acgc.uct.ac.za/",,"University of Cape Town
Private Bag X3
Rondebosch 7701
Republic of South Africa","Rondebosch 7701
Republic of South Africa",-33.965788,18.48102,
,U Warsaw,http://www.astrouw.edu.pl/index.php/english-front,,"00-478 Warsaw, Poland","00-478 Warsaw, Poland",52.231514,21.04383,
,,http://www1.astro.noa.gr/en/main/,,"Vas. Pavlou & I. Metaxa, 15236 Penteli, Greece","Vas. Pavlou & I. Metaxa, 15236 Penteli, Greece",38.048703,23.865066,
,,http://www.opetus.physics.helsinki.fi/english/,,"Gustaf Hällströmin katu 2a 
FI-00560 Helsinki","Gustaf Hällströmin katu 2a 
FI-00560 Helsinki",60.204975,24.963471,
,Tel Aviv U,https://physics.tau.ac.il/astrophysics,,"Tel Aviv University, P.O. Box 39040, Tel Aviv 6997801, Israel","Tel Aviv 6997801, Israel",32.08187,34.780549,
,Weizmann Institute,http://www.weizmann.ac.il/astrophysics/,,"Weizmann Institute of Science Rehovot 7610001 ISRAEL

",Rehovot 7610001 ISRAEL,32.104004,34.875815,
min 3.0 gpa/gre&toefl/75$/jan6,U Michigan,http://www.lsa.umich.edu/astro/,,"Astronomy
311 West Hall
1085 S. University
Ann Arbor, MI  48109-1107","Ann Arbor, MI  48109-1107",42.305325,42.305325,
,IUCAA,http://www.iucaa.ernet.in/,,"Savitribai Phule Pune University Campus
Pune 411 007, India ","Pune 411 007, India ",18.555062,73.822826,
,IIT Indore,http://iiti.ac.in/people/~astro/,,Indore,"Indore, India",22.719569,75.857726,
,RRI,http://www.rri.res.in/htmls/aa/index.htm,,"Bangalore
Karnataka
India
PIN: 560 080","Bangalore
India",13.010303,77.579602,
,,http://www.cssteap.org/,,"Headquarters, IIRS Campus, 4,Kalidas Road, Dehradun 248001, INDIA.","Dehradun 248001, INDIA.",30.339996,78.050211,
,,http://www.boseinst.ernet.in/capss/aboutus.htm,,"Bidhan Nagar, Kolkata - 700091","Bidhan Nagar, Kolkata - 700091",22.581696,88.430414,
,Hong Kong U,http://www.physics.hku.hk/~astro/,,"The University of Hong Kong, Pokfulam, Hong Kong","Pokfulam, Hong Kong",22.284051,114.137839,
,UWA,http://www.astro.uwa.edu.au/home,,"ICRAR 
M468 
The University of Western Australia 
35 Stirling Highway 
Crawley WA 6009 
AUSTRALIA","Crawley WA 6009 
AUSTRALIA",-31.98399,115.814655,
,"ICRAR, Australia",http://www.icrar.org/,,"The University of Western Australia
Crawley, Perth
Western Australia, 6009","Perth
Western Australia, 6009",-31.978619,115.819731,
,Curtin U,http://astronomy.curtin.edu.au/,,"Kent Street, Bentley, Perth
Western Australia, 6102","Perth
Western Australia, 6102",-32.002049,115.887556,
,,http://astro-en.shao.cas.cn/,,"80 Nandan Road, Shanghai 200030, China","Shanghai 200030, China",31.18997,121.441645,
,,http://caa.physics.sjtu.edu.cn/,,"800 Dongchuan Road, Shanghai","800 Dongchuan Road, Shanghai",31.023108,121.444057,
,,http://www.ipmu.jp/,,"Kashiwa, 277-8583, Japan","Kashiwa, 277-8583, Japan",32.742724,131.175783,
,,http://www.ess.sci.osaka-u.ac.jp/index-e.html,,"1-1 Machikaneyama-cho, Toyonaka-shi, Osaka 560-0043, Japan","Osaka 560-0043, Japan",34.802649,135.455614,
,,http://www.kusastro.kyoto-u.ac.jp/,,"Postal Address: Kitashirakawa-Oiwake-cho, Sakyo-ku, Kyoto 606-8502, Japan","Kyoto 606-8502, Japan",35.030518,135.783684,
,"National Astronomical Observatory, Japan",http://www.nao.ac.jp/en/,,"Osawa, Mitaka, Tokyo 181-8588, JAPAN","Osawa, Mitaka, Tokyo 181-8588, JAPAN",35.67533,139.536498,
,U Tokyo,http://www.astron.s.u-tokyo.ac.jp/en/,,"Department of Astronomy, Graduate School of Science, The University of Tokyo, Hongo 7-3-1, Bunkyo-ku, Tokyo, 113-0033","Hongo 7-3-1, Bunkyo-ku, Tokyo, 113-0033",35.708831,139.760097,
,U Melb,http://astro.physics.unimelb.edu.au/,,"Grattan Street, 
Parkville, Victoria, 3010","Parkville, Victoria, 3010",-37.799821,144.958457,
,Macquarie U,http://physics.mq.edu.au/astronomy/,,"Macquarie University 
NSW, 2109, Australia","NSW, 2109, Australia",-33.775699,151.113131,
,U Sydney,http://www.physics.usyd.edu.au/sifa/,,"The University of Sydney
NSW 2006
Australia","NSW 2006
Australia",-33.892089,151.193606,
,U New South Wales,https://www.physics.unsw.edu.au/,,UNSW Sydney NSW 2052 Australia Tel: (+61 02) 9385 7924,UNSW Sydney NSW 2052 Australia,-33.918488,151.227858,
,U Canterbury,http://www.phys.canterbury.ac.nz/research/astronomy/,,"University of Canterbury, 
Private Bag 4800, 
Christchurch 8140, 
New Zealand","Christchurch 8140, 
New Zealand",-43.545955,172.633235,
,,http://www.irasr.aut.ac.nz/,,"Private Bag 92006
Auckland 1142
NEW ZEALAND","Auckland 1142
NEW ZEALAND",-36.84846,174.763332,
,U Wellington,http://www.victoria.ac.nz/scps/research/research-groups/astronomy-astrophysics,,"Victoria University of Wellington
PO Box 600
Wellington 6140
New Zealand","Wellington 6140
New Zealand",-41.296882,174.774189,
,,http://astroherzberg.org/,,,,,,
,,http://astronomy.nju.edu.cn/Default.aspx?alias=astronomy.nju.edu.cn/english,,,,,,
,,http://web.physics.syr.edu/research/theo-cosmo/index.html,,"Syracuse University, Syracuse, NY 13244","Syracuse University, Syracuse, NY 13244",,,
,Caltech,http://www.astro.caltech.edu/,,,,,,
,U Pittsburgh,http://www.physicsandastronomy.pitt.edu/,,"University of Pittsburgh
Department of Physics and Astronomy
100 Allen Hall
3941 O'Hara St
Pittsburgh PA 15260",Pittsburgh PA 15260,,,
,ESO,,,,,,,
